"BehaviorSpace results (NetLogo 6.1.1)"
"final-1.nlogo"
"experiment"
"06/06/2021 15:32:30:509 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","marketing-effort","coef_of_social_influence","network","product-quality","social-influence?","fraction-of-greener","number-of-consumers","[step]","ticks"
"85","0.2","0.3","small-world","0.5","true","0.26","1000","2528","2528"
"90","0.4","0.5","small-world","0.5","true","0.26","1000","1539","1539"
"92","0.8","0.5","small-world","0.5","true","0.26","1000","1107","1107"
"91","0.6","0.5","small-world","0.5","true","0.26","1000","1261","1261"
"89","0.2","0.5","small-world","0.5","true","0.26","1000","2334","2334"
"95","0.6","0.7","small-world","0.5","true","0.26","1000","1235","1235"
"94","0.4","0.7","small-world","0.5","true","0.26","1000","1527","1527"
"96","0.8","0.7","small-world","0.5","true","0.26","1000","1083","1083"
"93","0.2","0.7","small-world","0.5","true","0.26","1000","2339","2339"
"100","0.8","0.3","preferential-attachment","0.5","true","0.26","1000","1112","1112"
"99","0.6","0.3","preferential-attachment","0.5","true","0.26","1000","1265","1265"
"98","0.4","0.3","preferential-attachment","0.5","true","0.26","1000","1634","1634"
"103","0.6","0.5","preferential-attachment","0.5","true","0.26","1000","1239","1239"
"102","0.4","0.5","preferential-attachment","0.5","true","0.26","1000","1545","1545"
"97","0.2","0.3","preferential-attachment","0.5","true","0.26","1000","2782","2782"
"101","0.2","0.5","preferential-attachment","0.5","true","0.26","1000","2314","2314"
"104","0.8","0.5","preferential-attachment","0.5","true","0.26","1000","1101","1101"
"106","0.4","0.7","preferential-attachment","0.5","true","0.26","1000","1546","1546"
"107","0.6","0.7","preferential-attachment","0.5","true","0.26","1000","1255","1255"
"108","0.8","0.7","preferential-attachment","0.5","true","0.26","1000","1086","1086"
"105","0.2","0.7","preferential-attachment","0.5","true","0.26","1000","2166","2166"
"83","0.6","0.7","random","0.5","true","0.26","1000","1204","1204"
"111","0.6","0.3","random","0.5","false","0.26","1000","1223","1223"
"112","0.8","0.3","random","0.5","false","0.26","1000","913","913"
"110","0.4","0.3","random","0.5","false","0.26","1000","1867","1867"
"115","0.6","0.5","random","0.5","false","0.26","1000","1260","1260"
"114","0.4","0.5","random","0.5","false","0.26","1000","1812","1812"
"109","0.2","0.3","random","0.5","false","0.26","1000","3778","3778"
"119","0.6","0.7","random","0.5","false","0.26","1000","1256","1256"
"118","0.4","0.7","random","0.5","false","0.26","1000","1817","1817"
"120","0.8","0.7","random","0.5","false","0.26","1000","931","931"
"113","0.2","0.5","random","0.5","false","0.26","1000","3599","3599"
"123","0.6","0.3","small-world","0.5","false","0.26","1000","1278","1278"
"122","0.4","0.3","small-world","0.5","false","0.26","1000","1815","1815"
"124","0.8","0.3","small-world","0.5","false","0.26","1000","915","915"
"116","0.8","0.5","random","0.5","false","0.26","1000","911","911"
"117","0.2","0.7","random","0.5","false","0.26","1000","3908","3908"
"128","0.8","0.5","small-world","0.5","false","0.26","1000","893","893"
"127","0.6","0.5","small-world","0.5","false","0.26","1000","1251","1251"
"121","0.2","0.3","small-world","0.5","false","0.26","1000","3723","3723"
"126","0.4","0.5","small-world","0.5","false","0.26","1000","1921","1921"
"131","0.6","0.7","small-world","0.5","false","0.26","1000","1270","1270"
"132","0.8","0.7","small-world","0.5","false","0.26","1000","930","930"
"125","0.2","0.5","small-world","0.5","false","0.26","1000","3668","3668"
"135","0.6","0.3","preferential-attachment","0.5","false","0.26","1000","1223","1223"
"129","0.2","0.7","small-world","0.5","false","0.26","1000","3406","3406"
"136","0.8","0.3","preferential-attachment","0.5","false","0.26","1000","929","929"
"134","0.4","0.3","preferential-attachment","0.5","false","0.26","1000","1821","1821"
"138","0.4","0.5","preferential-attachment","0.5","false","0.26","1000","1768","1768"
"140","0.8","0.5","preferential-attachment","0.5","false","0.26","1000","914","914"
"139","0.6","0.5","preferential-attachment","0.5","false","0.26","1000","1249","1249"
"133","0.2","0.3","preferential-attachment","0.5","false","0.26","1000","3564","3564"
"142","0.4","0.7","preferential-attachment","0.5","false","0.26","1000","1860","1860"
"144","0.8","0.7","preferential-attachment","0.5","false","0.26","1000","923","923"
"137","0.2","0.5","preferential-attachment","0.5","false","0.26","1000","3442","3442"
"143","0.6","0.7","preferential-attachment","0.5","false","0.26","1000","1233","1233"
"141","0.2","0.7","preferential-attachment","0.5","false","0.26","1000","3617","3617"
"147","0.6","0.3","random","0.5","true","0.26","1000","1262","1262"
"148","0.8","0.3","random","0.5","true","0.26","1000","1102","1102"
"146","0.4","0.3","random","0.5","true","0.26","1000","1667","1667"
"145","0.2","0.3","random","0.5","true","0.26","1000","2533","2533"
"150","0.4","0.5","random","0.5","true","0.26","1000","1596","1596"
"130","0.4","0.7","small-world","0.5","false","0.26","1000","1932","1932"
"151","0.6","0.5","random","0.5","true","0.26","1000","1218","1218"
"149","0.2","0.5","random","0.5","true","0.26","1000","2333","2333"
"152","0.8","0.5","random","0.5","true","0.26","1000","1091","1091"
"154","0.4","0.7","random","0.5","true","0.26","1000","1458","1458"
"155","0.6","0.7","random","0.5","true","0.26","1000","1222","1222"
"156","0.8","0.7","random","0.5","true","0.26","1000","1104","1104"
"153","0.2","0.7","random","0.5","true","0.26","1000","2055","2055"
"160","0.8","0.3","small-world","0.5","true","0.26","1000","1106","1106"
"159","0.6","0.3","small-world","0.5","true","0.26","1000","1333","1333"
"158","0.4","0.3","small-world","0.5","true","0.26","1000","1599","1599"
"163","0.6","0.5","small-world","0.5","true","0.26","1000","1267","1267"
"164","0.8","0.5","small-world","0.5","true","0.26","1000","1108","1108"
"162","0.4","0.5","small-world","0.5","true","0.26","1000","1533","1533"
"167","0.6","0.7","small-world","0.5","true","0.26","1000","1265","1265"
"166","0.4","0.7","small-world","0.5","true","0.26","1000","1514","1514"
"161","0.2","0.5","small-world","0.5","true","0.26","1000","2386","2386"
"165","0.2","0.7","small-world","0.5","true","0.26","1000","2149","2149"
"168","0.8","0.7","small-world","0.5","true","0.26","1000","1078","1078"
"171","0.6","0.3","preferential-attachment","0.5","true","0.26","1000","1298","1298"
"170","0.4","0.3","preferential-attachment","0.5","true","0.26","1000","1629","1629"
"172","0.8","0.3","preferential-attachment","0.5","true","0.26","1000","1135","1135"
